site_id,tran_id,n_points,n_segments,path_m,straight_m,curve,path_km,straight_km
cove_wash,CW001,5,4,1023.11988229965,1013.0715670672038,1.0099186627668721,1.0231198822996501,1.0130715670672037
cove_wash,CW003,5,4,1012.8932523567474,1004.6098745284162,1.008245367717712,1.0128932523567475,1.0046098745284162
cove_wash,CW006,5,4,1067.2248590303561,990.5478282243619,1.0774087112415804,1.0672248590303561,0.9905478282243618
cove_wash,CW007,5,4,1008.40708064183,1008.3099721811741,1.0000963081426695,1.00840708064183,1.0083099721811741
cove_wash,CW008,5,4,1033.0270670483822,1000.6243051215577,1.032382545337921,1.033027067048382,1.0006243051215578
cove_wash,CW010,5,4,1028.193425077516,1027.3947634672857,1.000777365856465,1.028193425077516,1.0273947634672858
cove_wash,CW011,5,4,1003.4330330338281,999.522385942406,1.0039125157639515,1.0034330330338281,0.99952238594240606
cove_wash,CW012,5,4,1010.5750484065779,1005.2586731782025,1.0052885643966316,1.0105750484065779,1.0052586731782025
cove_wash,CW014,5,4,1002.6629431646876,1002.5667060101288,1.000095990774461,1.0026629431646876,1.0025667060101289
cove_wash,CW015,5,4,999.6867208397321,998.8378246742561,1.0008498838795505,0.9996867208397321,0.9988378246742561
cove_wash,CW016,5,4,999.2007729600058,999.072069472468,1.0001288230263565,0.9992007729600058,0.999072069472468
cove_wash,CW017,5,4,998.4858990567127,998.4007211535857,1.0000853143445536,0.9984858990567127,0.9984007211535857
cove_wash,CW018,5,4,1003.547438982403,1003.4266291064833,1.0001203973189623,1.003547438982403,1.0034266291064833
cove_wash,CW019,5,4,1006.4271969598398,1004.1613416179692,1.0022564654184154,1.0064271969598397,1.0041613416179693
cove_wash,CW022,5,4,1006.4571462899115,1006.388096114019,1.00006861187663,1.0064571462899115,1.006388096114019
cove_wash,CW023,5,4,1010.3143254398556,1009.752444909147,1.0005564537462042,1.0103143254398557,1.009752444909147
cove_wash,CW025,5,4,1000.7740937374604,1000.7077495452905,1.000066297270307,1.0007740937374603,1.0007077495452905
cove_wash,CW027,5,4,997.3720377075149,997.345476753166,1.0000266316486794,0.9973720377075149,0.9973454767531661
cove_wash,CW030,5,4,1000.7884815893917,1000.7122463525666,1.000076180977202,1.0007884815893917,1.0007122463525666
cove_wash,CW031,5,4,1002.7063948087994,1002.7043432637558,1.000002046011925,1.0027063948087993,1.002704343263756
cove_wash,CW032,5,4,997.7514138980473,997.6677803758123,1.0000838290299436,0.9977514138980473,0.9976677803758123
cove_wash,CW033,5,4,1014.4757153592527,1014.3258845164112,1.0001477146991207,1.0144757153592527,1.0143258845164111
cove_wash,CW037,5,4,1004.0002033868932,1003.9372490350181,1.0000627074570005,1.004000203386893,1.003937249035018
cove_wash,CW038,5,4,1001.8253054686217,1001.8243358992634,1.0000009678037591,1.0018253054686217,1.0018243358992633
cove_wash,CW039,5,4,1015.962988806926,1006.717438013269,1.0091838587915025,1.015962988806926,1.006717438013269
cove_wash,CW041,5,4,1002.0155299648728,1001.8552789699718,1.0001599542351725,1.0020155299648728,1.0018552789699717
cove_wash,CW043,5,4,990.8397602045412,990.5235989112022,1.000319186028164,0.9908397602045412,0.9905235989112021
cove_wash,CW044,5,4,1024.6973960867397,1005.219379041212,1.0193768817550115,1.0246973960867396,1.005219379041212
cove_wash,CW045,5,4,997.8532622768957,997.8416708075486,1.0000116165416681,0.9978532622768957,0.9978416708075486
cove_wash,CW046,5,4,1005.0805278214032,1005.0497500124061,1.0000306231696459,1.0050805278214032,1.005049750012406
cove_wash,CW047,5,4,1005.9853274985687,1005.9348885489558,1.0000501413661929,1.0059853274985686,1.0059348885489559
cove_wash,CW049,5,4,1002.0405426707559,1002.0189618964304,1.000021537291355,1.002040542670756,1.0020189618964304
cove_wash,CW052,5,4,1002.5553392621673,1001.0244752252564,1.001529297309705,1.0025553392621673,1.0010244752252564
cove_wash,CW053,5,4,996.0492913430984,995.9221857153299,1.000127626063152,0.9960492913430984,0.9959221857153299
cove_wash,CW054,5,4,1004.525416513592,1004.0244020938933,1.00049900621803,1.004525416513592,1.0040244020938933
cove_wash,CW056,5,4,1001.6069753236941,995.7534835490158,1.005878454729393,1.001606975323694,0.9957534835490157
cove_wash,CW057,5,4,1019.5705054778101,1018.4262368969095,1.0011235654968857,1.0195705054778101,1.0184262368969095
cove_wash,CW058,5,4,1002.0792981592982,1001.960578066822,1.0001184877879181,1.0020792981592983,1.001960578066822
cove_wash,CW059,5,4,997.5594475821612,996.157618050477,1.0014072366724731,0.9975594475821612,0.996157618050477
cove_wash,CW060,5,4,1000.0212465210379,999.8579899165682,1.0001632797918467,1.0000212465210379,0.9998579899165682
cove_wash,CW064,5,4,1016.4561429762554,1001.6985574512923,1.0147325614229814,1.0164561429762553,1.0016985574512924
cove_wash,CW065,5,4,998.1239099911268,998.1087115139312,1.000015227276368,0.9981239099911268,0.9981087115139312
cove_wash,CW066,5,4,1055.3547335974076,1014.4500973433834,1.0403219797219638,1.0553547335974076,1.0144500973433834
cove_wash,CW070,5,4,998.2397697491414,997.8065944861258,1.0004341274806252,0.9982397697491414,0.9978065944861259
cove_wash,CW071,5,4,998.6631844518856,995.2366552735083,1.0034429290362459,0.9986631844518856,0.9952366552735082
cove_wash,CW072,5,4,999.3309304267007,999.1646510961044,1.0001664183479808,0.9993309304267006,0.9991646510961044
cove_wash,CW073,5,4,1027.6543991164976,1027.0408949988312,1.0005973512064164,1.0276543991164977,1.0270408949988312
cove_wash,CW077,5,4,1004.6274094800082,1003.8929225769051,1.0007316386903273,1.004627409480008,1.003892922576905
