"","site_id","tran_id","date","col_point","1_dist","2_dist","3_dist","4_dist"
"105","turkey_farm","TF050","4/2/2025",5,301,226,715,306
"106","turkey_farm","TF103","4/2/2025",1,128,151,92,203
"107","turkey_farm","TF103","4/2/2025",2,293,131,154,110
"108","turkey_farm","TF103","4/2/2025",3,144,163,97,172
"109","turkey_farm","TF103","4/2/2025",4,371,500,146,185
"110","turkey_farm","TF103","4/2/2025",5,120,115,67,86
"111","turkey_farm","TF109","4/2/2025",1,141,144,104,184
"112","turkey_farm","TF109","4/2/2025",2,59,225,190,97
"113","turkey_farm","TF109","4/2/2025",3,85,52,60,47
"114","turkey_farm","TF109","4/2/2025",4,46,56,91,98
"115","turkey_farm","TF109","4/2/2025",5,50,88,36,314
"116","turkey_farm","TF148","4/2/2025",1,153,203,101,157
"117","turkey_farm","TF148","4/2/2025",2,272,167,312,635
"118","turkey_farm","TF148","4/2/2025",3,176,159,191,368
"119","turkey_farm","TF148","4/2/2025",4,118,173,129,106
"120","turkey_farm","TF148","4/2/2025",5,99,228,127,105
"121","paradise_canyon","PC028","4/3/2025",1,132,210,146,104
"122","paradise_canyon","PC028","4/3/2025",2,140,204,104,75
"123","paradise_canyon","PC028","4/3/2025",3,121,71,192,121
"124","paradise_canyon","PC028","4/3/2025",4,65,62,169,159
"125","paradise_canyon","PC028","4/3/2025",5,111,211,116,77
"126","paradise_canyon","PC124","4/3/2025",1,144,137,84,241
"127","paradise_canyon","PC124","4/3/2025",2,112,165,139,53
"128","paradise_canyon","PC124","4/3/2025",3,170,239,229,138
"129","paradise_canyon","PC124","4/3/2025",4,179,106,126,156
"130","paradise_canyon","PC124","4/3/2025",5,106,204,76,67
"131","fort_pearce","FP001","4/4/2025",1,108,276,306,571
"132","fort_pearce","FP001","4/4/2025",2,96,164,515,301
"133","fort_pearce","FP001","4/4/2025",3,159,128,92,157
"134","fort_pearce","FP001","4/4/2025",4,112,103,66,186
"135","fort_pearce","FP001","4/4/2025",5,207,94,131,159
"136","fort_pearce","FP109","4/4/2025",1,850,735,883,505
"137","fort_pearce","FP109","4/4/2025",2,449,715,275,453
"138","fort_pearce","FP109","4/4/2025",3,60,134,170,132
"139","fort_pearce","FP109","4/4/2025",4,96,121,121,78
"140","fort_pearce","FP109","4/4/2025",5,75,58,83,88
"141","paradise_canyon","PC043","4/5/2025",1,172,258,173,116
"142","paradise_canyon","PC043","4/5/2025",2,133,281,383,432
"143","paradise_canyon","PC043","4/5/2025",3,369,194,336,192
"144","paradise_canyon","PC043","4/5/2025",4,229,392,348,124
"145","paradise_canyon","PC043","4/5/2025",5,958,351,496,466
"146","paradise_canyon","PC104","4/5/2025",1,126,123,254,111
"147","paradise_canyon","PC104","4/5/2025",2,181,143,176,104
"148","paradise_canyon","PC104","4/5/2025",3,83,130,81,133
"149","paradise_canyon","PC104","4/5/2025",4,284,334,294,388
"150","paradise_canyon","PC104","4/5/2025",5,94,276,107,268
"151","paradise_canyon","PC121","4/5/2025",1,200,130,126,135
"152","paradise_canyon","PC121","4/5/2025",2,125,186,233,129
"153","paradise_canyon","PC121","4/5/2025",3,130,176,218,230
"154","paradise_canyon","PC121","4/5/2025",4,87,255,146,288
"155","paradise_canyon","PC121","4/5/2025",5,131,119,98,107
"156","white_reef","WR008","4/6/2025",1,109,61,83,54
"157","white_reef","WR008","4/6/2025",2,200,313,33,30
"158","white_reef","WR008","4/6/2025",3,160,210,64,66
